종목코드,단축코드,표준코드,종목명,종목명_통합,한글 종목명,한글 종목약명,영문 종목명,시장구분,소속부,액면가,상장주식수,소속부.1,업종코드,업종명,결산월,지정자문인,자본금,통화구분,대표이사,대표전화,주소,상장일,증권구분,주식종류
010130,010130,KR7010130003,고려아연,고려아연,고려아연보통주,고려아연,KoreaZinc,KOSPI,,5000,19343263.0,,32402.0,1차 비철금속 제조업,12.0,,104542940000.0,원(KRW),"박기덕, 정태웅",02-6947-2114,서울특별시 종로구 종로33 (청진동) -,1990/07/28,주권,보통주
010140,010140,KR7010140002,삼성중공업,삼성중공업,삼성중공업보통주,삼성중공업,SamsungHeavyIndustries,KOSPI,,1000,880000000.0,,33101.0,선박 및 보트 건조업,12.0,,880000000000.0,원(KRW),최성안,031-5171-7000,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터,1994/01/28,주권,보통주
010170,010170,KR7010170009,대한광통신,대한광통신,대한광통신,대한광통신,"TAIHAN Fiberoptics Co.,LTD",KOSDAQ,중견기업부,500,131985660.0,,32803.0,절연선 및 케이블 제조업,12.0,,65992830000.0,원(KRW),"설윤석, 박민수(각자대표)",031-489-5195,경기도 안산시 단원구 장자골로 49 ,1994/11/07,주권,보통주
010240,010240,KR7010240000,흥국,흥국,흥국,흥국,"HEUNGKUK METALTECH CO.,LTD.",KOSDAQ,우량기업부,500,12322696.0,,32902.0,특수 목적용 기계 제조업,12.0,,6161348000.0,원(KRW),류명준,041-546-7771,충청남도 아산시 둔포면 아산밸리로 357 ,2009/05/12,주권,보통주
010280,010280,KR7010280006,아이티센엔텍,아이티센엔텍,아이티센엔텍,아이티센엔텍,ITCENENTEC,KOSDAQ,중견기업부,500,65123786.0,,106201.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12.0,,32561893000.0,원(KRW),신장호,02-2262-8114,"경기도 과천시 과천대로12길 117 (갈현동, 과천펜타원)",2000/04/14,주권,보통주
010400,010400,KR7010400000,우진아이엔에스,우진아이엔에스,우진아이엔에스보통주,우진아이엔에스,WOOJINI&S,KOSPI,,500,7622000.0,,64202.0,건물설비 설치 공사업,12.0,,3811000000.0,원(KRW),홍경모,02-535-7050,서울특별시 서초구 방배로 166 한승빌딩 3층 ,2018/09/14,주권,보통주
010470,010470,KR7010470003,오리콤,오리콤,오리콤,오리콤,ORICOM Inc.,KOSDAQ,우량기업부,1000,11975050.0,,137103.0,광고업,12.0,,11975050000.0,원(KRW),"박병철, 정승우(각자 대표이사)",02-510-4077,서울특별시 강남구  언주로 726 두산빌딩 ,2000/10/24,주권,보통주
010580,010580,KR7010580009,에스엠벡셀,에스엠벡셀,에스엠벡셀보통주,에스엠벡셀,"SM BEXEL CO.,LTD.",KOSPI,,500,111251760.0,,33003.0,자동차 신품 부품 제조업,12.0,,55625880000.0,원(KRW),"유병선, 최세환(각자대표)",041-529-7714,충청남도 아산시 도고면 도고면로 48-15 (주)지코,1994/12/27,주권,보통주
010600,010600,KR7010600005,웰바이오텍,웰바이오텍,웰바이오텍보통주,웰바이오텍,WELLBIOTEC,KOSPI,,500,90923407.0,,74601.0,상품 중개업,12.0,,45461703500.0,원(KRW),김한국,02-6902-1300,서울특별시 강남구 영동대로106길 17 5층,1997/07/18,주권,보통주
010620,010620,KR7010620003,HD현대미포,HD현대미포,에이치디현대미포보통주,HD현대미포,HD HYUNDAI MIPO,KOSPI,,5000,39942149.0,,33101.0,선박 및 보트 건조업,12.0,,199710745000.0,원(KRW),김형관,052-250-3114,울산광역시 동구 방어진순환도로 100 (주)현대미포조선,1983/12/20,주권,보통주
010640,010640,KR7010640001,진양폴리,진양폴리,진양폴리우레탄보통주,진양폴리,ChinYangPolyurethane,KOSPI,,500,10000000.0,,32202.0,플라스틱제품 제조업,12.0,,5000000000.0,원(KRW),최재호,031-657-2545,경기 평택시 세교동 536-8번지,1989/09/30,주권,보통주
010660,010660,KR7010660009,화천기계,화천기계,화천기계보통주,화천기계,HWACHEON MACHINERY,KOSPI,,500,22000000.0,,32902.0,특수 목적용 기계 제조업,12.0,,11000000000.0,원(KRW),"권형석, 권형운 (공동대표이사)",02-523-7766,서울특별시 서초구  방배로 46 ,1988/12/12,주권,보통주
010690,010690,KR7010690006,화신,화신,화신보통주,화신,Hwashin,KOSPI,,500,34920410.0,,33003.0,자동차 신품 부품 제조업,12.0,,17460205000.0,원(KRW),"정서진, 장의호",054-330-5400,경상북도 영천시  도남공단길 94-2 ,1994/01/14,주권,보통주
010770,010770,KR7010770006,평화홀딩스,평화홀딩스,평화홀딩스보통주,평화홀딩스,Pyung Hwa Holdings,KOSPI,,500,14625466.0,,33003.0,자동차 신품 부품 제조업,12.0,,7312733000.0,원(KRW),"황순용, 김주영",053-610-8500,대구광역시 달성군  논공읍 논공로 597 ,1986/03/31,주권,보통주
010780,010780,KR7010780005,아이에스동서,아이에스동서,아이에스동서보통주,아이에스동서,IS DONGSEO,KOSPI,,500,30186976.0,,32303.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",12.0,,15446303000.0,원(KRW),"남병옥, 허필식, 배기문",070-4193-4066,"서울특별시 강남구 학동로 231 6,7,8,9,10층",1986/01/27,주권,보통주
010820,010820,KR7010820009,퍼스텍,퍼스텍,퍼스텍보통주,퍼스텍,FIRSTEC,KOSPI,,500,48771938.0,,32502.0,무기 및 총포탄 제조업,12.0,,24385969000.0,원(KRW),손경석,031-627-4534,경상남도 창원시 성산구  남면로 485 퍼스텍(주),1989/05/10,주권,보통주
010950,010950,KR7010950004,S-Oil,S-Oil,S-Oil보통주,S-Oil,S-OilCorporation,KOSPI,,2500,112582792.0,,31902.0,석유 정제품 제조업,12.0,,291511797500.0,원(KRW),Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),02-3772-5151,서울특별시 마포구  백범로 192 ,1987/05/27,주권,보통주
,010955,KR7010951002,,S-Oil1우선주,S-Oil1우선주,S-Oil우,S-Oil(1P),KOSPI,,2500,4021927.0,,,,,,,,,,,1992/05/28,주권,구형우선주
010960,010960,KR7010960003,삼호개발,삼호개발,삼호개발 보통주,삼호개발,"Samho Development Co., Ltd.",KOSPI,,500,24120000.0,,64201.0,기반조성 및 시설물 축조관련 전문공사업,12.0,,12500000000.0,원(KRW),"심재범, 이영열",02-2046-7722,충청남도 당진시  면천면 면천로 183 ,2005/05/12,주권,보통주
011000,011000,KR7011000007,진원생명과학,진원생명과학,진원생명과학보통주,진원생명과학,GeneOneLifeScience,KOSPI,,1000,85409936.0,,32102.0,의약품 제조업,12.0,,85409936000.0,원(KRW),"고광연,한우근",02-3458-4030,"서울특별시 영등포구 여의대로 108 20층(여의도동, 파크원NH금융타워(타워2))",1987/11/16,주권,보통주
011040,011040,KR7011040003,경동제약,경동제약,경동제약,경동제약,KyungdongPharm,KOSDAQ,중견기업부,500,30768766.0,,32102.0,의약품 제조업,12.0,,15684383000.0,원(KRW),"류기성, 김경훈(각자 대표)",02  -576 -6121,경기도 화성시  양감면 제약단지로 224-3 ,1992/12/18,주권,보통주
011070,011070,KR7011070000,LG이노텍,LG이노텍,LG이노텍보통주,LG이노텍,LG Innotek,KOSPI,,5000,23667107.0,,32602.0,전자부품 제조업,12.0,,118335535000.0,원(KRW),문혁수,02-3777-1114,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 ,2008/07/24,주권,보통주
011080,011080,KR7011080009,형지I&C,형지I&C,형지아이앤씨,형지I&C,HYUNGJI Innovation and Creative Company Limited,KOSDAQ,중견기업부,500,42313608.0,,31401.0,봉제의복 제조업,12.0,,21156804000.0,원(KRW),최혜원,02-6119-4900,"인천광역시 연수구 하모니로177번길 49 12층 (송도동,형지글로벌패션복합센터)",2004/07/02,주권,보통주
011090,011090,KR7011090008,에넥스,에넥스,에넥스보통주,에넥스,Enex,KOSPI,,500,59991641.0,,33201.0,가구 제조업,12.0,,29995820500.0,원(KRW),박진규,02-2185-2000,서울특별시 서초구 서초대로73길 40(서초동) ,1995/07/08,주권,보통주
011150,011150,KR7011150000,CJ씨푸드,CJ씨푸드,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,KOSPI,,500,35930773.0,,31008.0,기타 식품 제조업,12.0,,18065386500.0,원(KRW),임항순,031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),1988/11/26,주권,보통주
,011155,KR7011151008,,CJ씨푸드1우선주,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),KOSPI,,500,200000.0,,,,,,,,,,,1990/01/13,주권,구형우선주
011170,011170,KR7011170008,롯데케미칼,롯데케미칼,롯데케미칼보통주,롯데케미칼,LOTTE CHEMICAL CORPORATION,KOSPI,,5000,42775419.0,,32001.0,기초 화학물질 제조업,12.0,,213877095000.0,원(KRW),"신동빈, 이영준, 황민재",02-829-4114,서울특별시 송파구 올림픽로 300 롯데월드타워 ,1991/05/30,주권,보통주
011200,011200,KR7011200003,HMM,HMM,에이치엠엠보통주,HMM,HMM,KOSPI,,5000,943237970.0,,85001.0,해상 운송업,12.0,,5125197480000.0,원(KRW),최원혁,02-3706-5114,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)",1995/10/05,주권,보통주
011210,011210,KR7011210002,현대위아,현대위아,현대위아보통주,현대위아,HYUNDAI WIA,KOSPI,,5000,27195083.0,,33003.0,자동차 신품 부품 제조업,12.0,,135975415000.0,원(KRW),권오성,055-280-9114,경상남도 창원시 성산구  정동로 153 ,2011/02/21,주권,보통주
011230,011230,KR7011230000,삼화전자,삼화전자,삼화전자공업보통주,삼화전자,SamwhaElectronics,KOSPI,,1000,16902700.0,,32605.0,영상 및 음향기기 제조업,12.0,,16902700000.0,원(KRW),"오영주, 이건화",031-374-5501,경기도 용인시 처인구  남사면 경기동로 215 삼화전자공업(주),1987/05/25,주권,보통주
011280,011280,KR7011280005,태림포장,태림포장,태림포장보통주,태림포장,Tailim Packaging,KOSPI,,500,70805940.0,,31702.0,"골판지, 종이 상자 및 종이용기 제조업",12.0,,35402970000.0,원(KRW),이복진,031-499-3333,경기도 시흥시 공단1대로379번안길 74 ,1988/12/20,주권,보통주
011300,011300,KR7011300001,성안머티리얼스,성안머티리얼스,성안머티리얼스보통주,성안머티리얼스,SEONG AN Materials,KOSPI,,100,155617675.0,,31302.0,직물직조 및 직물제품 제조업,12.0,,15561767500.0,원(KRW),임종찬,053-382-4772,대구광역시 북구  검단동로 35 (검단동),1995/11/10,주권,보통주
011320,011320,KR7011320009,유니크,유니크,유니크,유니크,UNICK CORPORATION,KOSDAQ,우량기업부,500,19320695.0,,33003.0,자동차 신품 부품 제조업,12.0,,9660347500.0,원(KRW),안정구,055-345-2000,경상남도 김해시  진영읍 서부로179번길 90 (주)유니크 ,1993/12/29,주권,보통주
011330,011330,KR7011330008,유니켐,유니켐,유니켐보통주,유니켐,"UNI CHEM.CO.,LTD",KOSPI,,500,93113998.0,,31501.0,"가죽, 가방 및 유사제품 제조업",12.0,,49088974000.0,원(KRW),김진환,031-491-3751,경기도 안산시 단원구 해봉로 38 ,1989/12/14,주권,보통주
011370,011370,KR7011370004,서한,서한,서한,서한,Seohan,KOSDAQ,우량기업부,500,100894865.0,,64101.0,건물 건설업,12.0,,50447432500.0,원(KRW),"조종수, 정우필(각자 대표이사)",053 -741 -9980,대구광역시 수성구 명덕로 415 서한빌딩,1994/05/24,주권,보통주
011390,011390,KR7011390002,부산산업,부산산업,부산산업보통주,부산산업,BusanIndustrial,KOSPI,,5000,1056000.0,,32303.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",12.0,,5280000000.0,원(KRW),정영교,051-315-8338,부산광역시 사상구 장인로 35 (감전동),1990/09/14,주권,보통주
011420,011420,KR7011420007,갤럭시아에스엠,갤럭시아에스엠,갤럭시아에스엠보통주,갤럭시아에스엠,GALAXIA SM,KOSPI,,500,27549644.0,,189101.0,스포츠 서비스업,12.0,,13774822000.0,원(KRW),이반석,02-775-1300,서울특별시 강남구  학동로 311 미성빌딩 7층  ,1989/11/14,주권,보통주
011500,011500,KR7011500006,한농화성,한농화성,한농화성보통주,한농화성,HANNONGCHEMICALSINC.,KOSPI,,500,15637042.0,,32004.0,기타 화학제품 제조업,12.0,,7818521000.0,원(KRW),"김응상, 경상호 (각자대표)",063-462-2455,"전라북도 군산시  외항1길 24 (소룡동,0)",2003/01/09,주권,보통주
011560,011560,KR7011560000,세보엠이씨,세보엠이씨,세보엠이씨,세보엠이씨,SEBO MANUFACTURING ENGINEERING CORP.,KOSDAQ,우량기업부,500,10530000.0,,64202.0,건물설비 설치 공사업,12.0,,5265000000.0,원(KRW),"김우영,이원하(각자 대표이사)",02-2046-7922,서울특별시 서초구  효령로 341 ,1996/12/23,주권,보통주
011690,011690,KR7011690005,와이투솔루션,와이투솔루션,와이투솔루션보통주,와이투솔루션,Y2 Solution,KOSPI,,2500,36574394.0,,32601.0,반도체 제조업,12.0,,91435985000.0,원(KRW),강석환,031-8084-3986,경기도 화성시 팔탄면 시청로 971 212호,1995/12/21,주권,보통주
011700,011700,KR7011700002,한신기계,한신기계,한신기계공업보통주,한신기계,HanshinMachinery,KOSPI,,500,32446151.0,,32901.0,일반 목적용 기계 제조업,12.0,,16223075500.0,원(KRW),최영민,031-491-3911,경기도 안산시 단원구  해봉로330번길 23 신길동,1987/07/24,주권,보통주
011760,011760,KR7011760006,현대코퍼레이션,현대코퍼레이션,현대코퍼레이션보통주,현대코퍼레이션,HYUNDAI CORPORATION,KOSPI,,5000,13228966.0,,74608.0,상품 종합 도매업,12.0,,66144830000.0,원(KRW),"정몽혁, 김원갑, 장안석(각자대표이사)",02-390-1114,서울특별시 종로구 율곡로2길 25 연합미디어센터빌딩 16층,1977/12/01,주권,보통주
011780,011780,KR7011780004,금호석유화학,금호석유화학,금호석유화학보통주,금호석유화학,KumhoPetrochemical,KOSPI,,5000,26031742.0,,32001.0,기초 화학물질 제조업,12.0,,167455885000.0,원(KRW),백종훈,02-6961-1114,"서울특별시 중구 청계천로 100
(수표동, 시그니쳐타워) ",1988/01/22,주권,보통주
,011785,KR7011781002,,금호석유화학1우선주,금호석유화학1우선주,금호석유화학우,KumhoPetrochemical(1P),KOSPI,,5000,3023486.0,,,,,,,,,,,1988/10/20,주권,구형우선주
011790,011790,KR7011790003,SKC,SKC,SKC보통주,SKC,SKC,KOSPI,,5000,37868298.0,,32004.0,기타 화학제품 제조업,12.0,,189341490000.0,원(KRW),박원철,02-3787-1234,경기도 수원시 장안구 정자로 102 SKC첨단기술중앙연구소 (정자동 911-10),1997/07/18,주권,보통주
011810,011810,KR7011810009,STX,STX,STX보통주,STX,STX,KOSPI,,2500,31017927.0,,74608.0,상품 종합 도매업,12.0,,77544817500.0,원(KRW),박상준,02-316-9600,경상남도 창원시 성산구  중앙대로 105  ,1990/09/12,주권,보통주
011930,011930,KR7011930005,신성이엔지,신성이엔지,신성이엔지보통주,신성이엔지,SHINSUNG E&G,KOSPI,,500,205848151.0,,32601.0,반도체 제조업,12.0,,103034075500.0,원(KRW),이지선,02-6312-1000,"경기도 과천시 과천대로7길 20 A타워 14층,15층 ",1996/07/31,주권,보통주
012030,012030,KR7012030003,DB,DB,DB Inc.보통주,DB,DB Inc.,KOSPI,,500,201173933.0,,106201.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12.0,,100586966500.0,원(KRW),"문덕식,강운식 (각자 대표이사)",02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,1993/01/06,주권,보통주
012160,012160,KR7012160008,영흥,영흥,영흥보통주,영흥,YOUNGWIRE,KOSPI,,500,101310372.0,,32401.0,1차 철강 제조업,12.0,,50655186000.0,원(KRW),강근욱,02-2077-8500,충청남도 보령시 주교면 관창공단길 50 -,2010/01/25,주권,보통주
012170,012170,KR7012170007,아센디오,아센디오,아센디오보통주,아센디오,Ascendio,KOSPI,,500,10873743.0,,105901.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",12.0,,5436871500.0,원(KRW),한승일,02-1544-0332,"서울특별시 강남구 언주로 729 8층(논현동, 마스터스빌딩)",1989/12/20,주권,보통주
012200,012200,KR7012200002,계양전기,계양전기,계양전기보통주,계양전기,KeyangElectricMachinery,KOSPI,,500,27222829.0,,32901.0,일반 목적용 기계 제조업,12.0,,14195954000.0,원(KRW),임영환,02-559-6800,서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층,1988/07/06,주권,보통주
,012205,KR7012201000,,계양전기1우선주,계양전기1우선주,계양전기우,KeyangElectricMachinery(1P),KOSPI,,500,1169079.0,,,,,,,,,,,1989/08/02,주권,구형우선주
012210,012210,KR7012210001,삼미금속,삼미금속,삼미금속,삼미금속,SMP,KONEX,일반기업부,1000,19766609.0,,32509.0,기타 금속 가공제품 제조업,12.0,IBK증권,19766609000.0,원(KRW),이남영,055-269-0845,경상남도 창원시 성산구 공단로 589 ,2023/05/16,주권,보통주
012280,012280,KR7012280004,영화금속,영화금속,영화금속보통주,영화금속,YeonghwaMetal,KOSPI,,500,51664505.0,,33003.0,자동차 신품 부품 제조업,12.0,,27569082500.0,원(KRW),최동윤(단독 대표이사),055-551-7500,경상남도 창원시 진해구  남의로 57 (남양동) ,1990/01/25,주권,보통주
012320,012320,KR7012320008,경동인베스트,경동인베스트,경동인베스트보통주,경동인베스트,KYUNGDONG INVEST,KOSPI,,5000,2365023.0,,116409.0,기타 금융업,12.0,,11825115000.0,원(KRW),정승진,031-738-5557,경기도 성남시 분당구 수내로46번길 4 경동빌딩 -,1997/03/07,주권,보통주
012330,012330,KR7012330007,현대모비스,현대모비스,현대모비스보통주,현대모비스,HyundaiMobis,KOSPI,,5000,91795094.0,,33003.0,자동차 신품 부품 제조업,12.0,,490969315000.0,원(KRW),"정의선, 이규석",02-2018-5114,서울 강남구 역삼1동 로담코빌딩 140-2,1989/09/05,주권,보통주
012340,012340,KR7012340006,뉴인텍,뉴인텍,뉴인텍,뉴인텍,"NUIN TEK CO., LTD",KOSDAQ,벤처기업부,500,51606462.0,,33003.0,자동차 신품 부품 제조업,12.0,,25803231000.0,원(KRW),장기수,041 -541 -8100,충청남도 아산시 음봉면 음봉면로 243 ,1997/02/12,주권,보통주
012450,012450,KR7012450003,한화에어로스페이스,한화에어로스페이스,한화에어로스페이스보통주,한화에어로스페이스,HANWHA AEROSPACE,KOSPI,,5000,51563401.0,,33103.0,"항공기,우주선 및 부품 제조업",12.0,,270317005000.0,원(KRW),"김동관, 손재일, Michael Coulter",055-260-2114,경상남도 창원시 성산구  창원대로 1204 ,1987/05/27,주권,보통주
012510,012510,KR7012510004,더존비즈온,더존비즈온,더존비즈온보통주,더존비즈온,DOUZONE BIZON,KOSPI,,500,30382784.0,,106201.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12.0,,15191392000.0,원(KRW),김용우,02-6233-3000,강원도 춘천시 남산면 버들1길 130 ,1988/10/28,주권,보통주
012610,012610,KR7012610002,경인양행,경인양행,경인양행보통주,경인양행,KyunginSynthetic,KOSPI,,500,41616365.0,,32001.0,기초 화학물질 제조업,12.0,,20808182500.0,원(KRW),"김흥준,조성용 (각자대표이사)",032-571-7498,인천광역시 서구  건지로 199 (석남동) 223-52,1995/10/05,주권,보통주
012620,012620,KR7012620001,원일특강,원일특강,원일특강,원일특강,WonilSpecialSteel,KOSDAQ,우량기업부,500,4400000.0,,32401.0,1차 철강 제조업,12.0,,2200000000.0,원(KRW),최극태,031-434-1221,"경기도 시흥시  공단2대로256번길 4 (정왕동, 시화공단3바104)",1994/06/28,주권,보통주
012630,012630,KR7012630000,HDC,HDC,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",KOSPI,,5000,59741721.0,,116409.0,기타 금융업,12.0,,298708605000.0,원(KRW),"정몽규, 김회언 (각자 대표이사)",02-2008-8607,서울특별시 종로구 경희궁1가길 9 -,1996/10/16,주권,보통주
012690,012690,KR7012690004,모나리자,모나리자,모나리자보통주,모나리자,Monalisa,KOSPI,,500,36571255.0,,31709.0,기타 종이 및 판지 제품 제조업,12.0,,18885627500.0,원(KRW),이석주,02-829-8800,서울특별시 동작구  보라매로5길 15 전문건설회관빌딩 21층 (주)모나리자,1988/10/14,주권,보통주
012700,012700,KR7012700001,리드코프,리드코프,리드코프,리드코프,"The LEADCORP, Inc.",KOSDAQ,우량기업부,500,26446135.0,,74607.0,기타 전문 도매업,12.0,,13777741000.0,원(KRW),이재중,02  -2126-5000,"서울특별시 중구 소공로 109 3층(소공동, 소공동한화빌딩) ",1996/01/19,주권,보통주
012750,012750,KR7012750006,에스원,에스원,에스원보통주,에스원,S-1,KOSPI,,500,37999178.0,,147503.0,"경비, 경호 및 탐정업",12.0,,18999589000.0,원(KRW),"남궁범, 하나오카 타쿠로",00-1588-3112,서울 중구 순화동 168 에스원빌딩 17층 총무팀,1996/01/30,주권,보통주
012790,012790,KR7012790002,신일제약,신일제약,신일제약,신일제약,"SHINIL PHARMACEUTICAL CO., LTD.",KOSDAQ,우량기업부,500,11986415.0,,32102.0,의약품 제조업,12.0,,5993207500.0,원(KRW),홍재현,02-2211-6700,충북 충주시 앙성면 본평리 산 5-1 ,1999/08/13,주권,보통주
012800,012800,KR7012800009,대창,대창,대창보통주,대창,DAECHANG,KOSPI,,500,91140499.0,,32402.0,1차 비철금속 제조업,12.0,,45570249500.0,원(KRW),"조시영, 김옥열",031-496-3000,경기도 시흥시 공단1대로 391 ,1989/12/05,주권,보통주
012860,012860,KR7012860003,모베이스전자,모베이스전자,모베이스전자,모베이스전자,"MOBASE ELECTRONICS CO.,LTD.",KOSDAQ,우량기업부,500,73233457.0,,33003.0,자동차 신품 부품 제조업,12.0,,36616728500.0,원(KRW),이광윤,031-5174-3000,경기도 수원시 권선구 산업로156번길 100 (고색동) ,1994/10/26,주권,보통주
013000,013000,KR7013000005,세우글로벌,세우글로벌,세우글로벌보통주,세우글로벌,Sewooglobal,KOSPI,,500,28705031.0,,74607.0,기타 전문 도매업,12.0,,14352515500.0,원(KRW),안백순,032-868-1100,인천광역시 남구 염전로261번길 26-48 ,1989/09/05,주권,보통주
013030,013030,KR7013030002,하이록코리아,하이록코리아,하이록코리아,하이록코리아,HY-LOK CORPORATION,KOSDAQ,우량기업부,500,11768144.0,,32401.0,1차 철강 제조업,12.0,,6806616000.0,원(KRW),"문휴건, 문창환 각자대표이사",051 -970-0801,부산광역시 강서구 녹산산단27로 97 ,1989/12/15,주권,보통주
013120,013120,KR7013120001,동원개발,동원개발,동원개발,동원개발,DongwonDevelopment,KOSDAQ,우량기업부,500,90808100.0,,64101.0,건물 건설업,12.0,,45404050000.0,원(KRW),"장복만, 박영봉 (각자 대표이사)",051 -645 -3113,"부산광역시 수영구 수영로 754 동원빌딩 (민락동,센텀비스타동원)",1994/12/29,주권,보통주
013310,013310,KR7013310008,아진산업,아진산업,아진산업,아진산업,"A-JIN INDUSTRY CO.,LTD",KOSDAQ,우량기업부,500,38806582.0,,33003.0,자동차 신품 부품 제조업,12.0,,19403291000.0,원(KRW),서중호,053-856-9100,경상북도 경산시 진량읍 공단8로26길 40 &nbsp,2015/12/22,주권,보통주
013360,013360,KR7013360003,일성건설,일성건설,일성건설보통주,일성건설,IlsungConstruction,KOSPI,,500,54024880.0,,64102.0,토목 건설업,12.0,,27012440000.0,원(KRW),백종탁,032-429-3270,경기도 용인시 기흥구 용구대로2469번길 10 죽전 일성트루엘 B105호,1989/12/02,주권,보통주
013520,013520,KR7013520002,화승코퍼레이션,화승코퍼레이션,화승코퍼레이션보통주,화승코퍼레이션,Hwaseung Corporation,KOSPI,,500,50051252.0,,33003.0,자동차 신품 부품 제조업,12.0,,25025626000.0,원(KRW),"허성룡,현지호",051-717-7300,부산광역시 연제구 중앙대로 1079 -,1991/02/22,주권,보통주
013570,013570,KR7013570007,디와이,디와이,디와이보통주,디와이,DY Corporation,KOSPI,,500,26319633.0,,116409.0,기타 금융업,12.0,,13159816500.0,원(KRW),김진호,032-810-4100,인천광역시 남동구  남동서로362번길 36 (남촌동),1989/05/30,주권,보통주
013580,013580,KR7013580006,계룡건설,계룡건설,계룡건설산업보통주,계룡건설,KyeryongConstructionIndustrial,KOSPI,,5000,8930907.0,,64102.0,토목 건설업,12.0,,44654535000.0,원(KRW),"오태식, 윤길호",042-480-7114-5,대전광역시 서구 문정로48번길 48 -,1996/01/30,주권,보통주
013700,013700,KR7013700000,까뮤이앤씨,까뮤이앤씨,까뮤이앤씨보통주,까뮤이앤씨,CAMUS ENGINEERING & CONSTRUCTION Inc.,KOSPI,,500,59750830.0,,64101.0,건물 건설업,12.0,,29875415000.0,원(KRW),"손병재, 이은규 (각자 대표이사)",031-633-9114,경기도 이천시 대월면 경충대로 1937번길 57 ,1989/11/30,주권,보통주
013720,013720,KR7013720008,THE CUBE&,THE CUBE&,더큐브앤,THE CUBE&,The Cube&,KOSDAQ,중견기업부,1000,60828143.0,,33003.0,자동차 신품 부품 제조업,12.0,,60828143000.0,원(KRW),오경원,032 -816 -3550,인천광역시 남동구  남동대로 208 ,1993/12/29,주권,보통주
013810,013810,KR7013810007,스페코,스페코,스페코,스페코,Speco,KOSDAQ,중견기업부,500,14655470.0,,32902.0,특수 목적용 기계 제조업,12.0,,7327735000.0,원(KRW),"김재현, 이열",02-3498-3243,서울특별시 강남구 학동로 171 삼익빌딩 7층,1997/11/03,주권,보통주
013870,013870,KR7013870001,지엠비코리아,지엠비코리아,지엠비코리아보통주,지엠비코리아,GMB Korea,KOSPI,,500,19072280.0,,33003.0,자동차 신품 부품 제조업,12.0,,9536140000.0,원(KRW),"정세영, 송병영",055-263-2131,경상남도 창원시 성산구  웅남로 618(성산동) ,2012/11/20,주권,보통주
013890,013890,KR7013890009,지누스,지누스,지누스보통주,지누스,ZINUS,KOSPI,,500,22254576.0,,33201.0,가구 제조업,12.0,,11364474000.0,원(KRW),정백재,031-622-1700,"경기도 성남시 분당구 야탑로81번길 10,8층(야탑동, 아미고타워) ",2019/10/30,주권,보통주
013990,013990,KR7013990007,아가방컴퍼니,아가방컴퍼니,아가방앤컴퍼니,아가방컴퍼니,AGABANG&COMPANY,KOSDAQ,우량기업부,500,32887536.0,,74604.0,생활용품 도매업,12.0,,16443768000.0,원(KRW),신상국,02-527-1300,서울특별시 강남구 테헤란로 207 아가방빌딩 ,2002/01/17,주권,보통주
014100,014100,KR7014100002,메디앙스,메디앙스,메디앙스,메디앙스,"Medience Co., LTD.",KOSDAQ,중견기업부,500,11800000.0,,74608.0,상품 종합 도매업,12.0,,5900000000.0,원(KRW),박수찬,02-6283-6790,서울특별시 강남구 논현로64길 4 5층~6층,1995/01/03,주권,보통주
014130,014130,KR7014130009,한익스프레스,한익스프레스,한익스프레스보통주,한익스프레스,HanExpress,KOSPI,,500,12000000.0,,84903.0,도로 화물 운송업,12.0,,6000000000.0,원(KRW),유인철,02-3400-5474,경기도 화성시 양감면 초록로 103 (주)한익스프레스,1989/07/25,주권,보통주
014160,014160,KR7014160006,대영포장,대영포장,대영포장보통주,대영포장,DaeyoungPackaging,KOSPI,,500,108394549.0,,31702.0,"골판지, 종이 상자 및 종이용기 제조업",12.0,,54197274500.0,원(KRW),"강병은,손용수",031-490-9300,"경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))",1990/03/06,주권,보통주
014190,014190,KR7014190003,원익큐브,원익큐브,원익큐브,원익큐브,WONIK CUBE Corp.,KOSDAQ,우량기업부,500,35399906.0,,74607.0,기타 전문 도매업,12.0,,17699953000.0,원(KRW),문경수,031-8038-9300,경기도 성남시 분당구  판교로255번길 20 원익빌딩,1996/04/26,주권,보통주
